,Geography,cases,deaths,Estimated % of Households Below poverty level,Total Households,Household has three or more generations
0,1001.0,18233,226.0,13.9,20221,929
1,1003.0,65088,702.0,11.0,73180,2745
2,1005.0,6826,101.0,26.7,9820,511
3,1007.0,7450,107.0,20.8,7953,450
4,1009.0,16673,254.0,16.2,21578,924
5,1011.0,2783,54.0,29.6,3745,238
6,1013.0,5975,129.0,18.5,8491,438
7,1015.0,36319,647.0,16.5,47331,2105
8,1017.0,9925,167.0,16.3,13933,831
9,1019.0,5931,87.0,15.6,10626,438
10,1021.0,12275,213.0,16.2,16558,821
11,1023.0,2179,37.0,18.3,5866,263
12,1025.0,7983,104.0,24.5,10337,510
13,1027.0,4702,85.0,18.3,5670,218
14,1029.0,4061,70.0,18.2,5891,239
15,1031.0,15809,240.0,14.8,19849,723
16,1033.0,19287,266.0,16.3,22773,861
17,1035.0,3313,72.0,15.9,5625,276
18,1037.0,3454,60.0,12.9,4794,232
19,1039.0,10639,247.0,19.3,15531,592
20,1041.0,4347,103.0,17.6,5652,240
21,1043.0,28675,376.0,13.7,31864,1272
22,1045.0,15219,242.0,17.6,20065,731
23,1047.0,9997,254.0,27.1,17064,1310
24,1049.0,21035,338.0,18.9,26842,1101
25,1051.0,27369,358.0,11.1,28301,1328
26,1053.0,11436,175.0,24.4,14157,717
27,1055.0,31562,666.0,16.3,42036,1801
28,1057.0,5479,97.0,20.8,7100,259
29,1059.0,11115,140.0,16.7,12286,444
30,1061.0,7347,170.0,19.9,10920,484
31,1063.0,2121,51.0,34.6,3764,249
32,1065.0,5351,109.0,29.7,6273,337
33,1067.0,5344,78.0,16.3,6994,296
34,1069.0,29970,522.0,16.2,40969,1682
35,1071.0,16816,248.0,17.7,21513,821
36,1073.0,216936,2437.0,15.7,263568,12989
37,1075.0,4335,68.0,20.9,6103,191
38,1077.0,27951,405.0,14.8,38680,1157
39,1079.0,8762,169.0,15.3,13654,616
40,1081.0,43774,349.0,20.9,55682,1847
41,1083.0,29232,304.0,12.1,31446,1081
42,1085.0,3030,80.0,23.9,4352,389
43,1087.0,4753,88.0,22.6,8499,542
44,1089.0,105797,1001.0,11.5,134700,4433
45,1091.0,5770,111.0,23.1,8535,429
46,1093.0,9264,154.0,18.5,12651,417
47,1095.0,30601,400.0,16.4,35810,1455
48,1097.0,127174,1721.0,17.1,158435,9141
49,1099.0,6121,81.0,29.1,9214,456
50,1101.0,66015,990.0,17.6,89981,4640
51,1103.0,42317,527.0,15.0,47030,1692
52,1105.0,2450,47.0,31.3,3947,284
53,1107.0,5895,111.0,20.9,8012,388
54,1109.0,8659,138.0,21.5,13210,459
55,1111.0,5816,75.0,20.4,9164,430
56,1113.0,11914,97.0,20.6,21229,1144
57,1117.0,70051,469.0,7.8,74072,2353
58,1115.0,29702,431.0,11.5,31624,1451
59,1119.0,2926,52.0,31.1,5629,321
60,1121.0,26285,383.0,18.5,31890,1783
61,1123.0,13405,247.0,16.4,16985,813
62,1125.0,65131,809.0,16.7,76141,2858
